Foto	Ref.	Dirección	Planta	m²	Nºhab.	Garaje	Precio	Fecha oferta	
	59279	CALLE CASTILLO DE CANDANCHU, 48	2	79,85	3	si	1000,00 €	04/04/2014	
	55605	CALLE CASTILLO DE CANDANCHU, 48 A	6	85	3	si	975,00 €	11/03/2013	
	50362	CALLE CERRILLO, 1	1	48,72	3	-	650,00 €	26/07/2012	
	54541	CALLE CERRILLO, 6	1	34,2	2	-	630,00 €	24/01/2013	
	63247	CALLE CERRO DEL CASTAÑAR, 159	4	73	3	si	980,00 €	02/01/2015	
	27994	CALLE CERRO MINGUETE, 14	1	56,82	2	si	975,00 €	14/10/2013	
	26672	CALLE CHANTADA, 15	1	51,5	3	-	650,00 €	04/07/2011	
	65639	CALLE CHANTADA, 17	4	37,72	2	-	600,00 €	28/01/2016	
	32957	CALLE CHANTADA, 20	3	37,368	2	-	700,00 €	06/05/2013	
	51981	CALLE CHANTADA, 27	2	37,62	2	-	580,00 €	06/11/2014	
	28158	CALLE CHANTADA, 29	2	46	3	-	650,00 €	19/05/2014	
	179436	CALLE COLLADO DEL HORNILLO, 3	2	64,94	2	si	850,00 €	11/03/2016	
	61152	CALLE COSTA BRAVA, 28	1	82,41	3	si	980,00 €	27/03/2014	
	46946	CALLE DE LA BAÑEZA, 40	11	52,3	2	-	700,00 €	22/03/2012	
	61347	CALLE DE SARRIA, 15	1	38	2	-	600,00 €	16/04/2014	
	56580	CALLE DIVINO REDENTOR, 16	1	42,27	1	-	550,00 €	26/04/2013	
	179398	CALLE DOCTOR JUAN BRAVO, 25	1	80	3	-	700,00 €	03/03/2016	
	63150	CALLE DOCTOR JUAN BRAVO, 29	2	48,58	1	si	600,00 €	15/12/2014	
	28951	CALLE DOCTOR RAMON CASTROVIEJO, 3	10	91,2	3	-	1000,00 €	27/01/2016	
	47659	CALLE DOCTOR RAMON CASTROVIEJO, 5	1	90,06	3	-	920,00 €	16/04/2012	
